Department,Tenure,I have the autonomy to do my best work.,Communication across teams is clear and timely.,I am recognized when I do good work.,My manager helps me grow professionally.,I find my work meaningful.,I have access to the tools I need to succeed.,I feel a sense of belonging at this organization.,I would recommend this organization as a great place to work.,What is one thing that would make your day-to-day work better?
Sales,1-3 years,3,3,3,4,4,3,3,4,More flexibility in my schedule.
Marketing,1-3 years,3,3,2,3,4,3,4,4,
Marketing,1-3 years,4,4,5,4,4,4,3,3,More opportunities to learn new things.
Engineering,1-3 years,5,4,3,4,4,3,4,4,Career path conversations more than once a year.
Engineering,Under 1 year,4,4,3,3,5,5,3,4,"Real cross-functional collaboration, not just meetings."
Marketing,4-7 years,4,5,3,4,5,4,5,2,
HR,1-3 years,4,5,4,3,4,3,3,4,"Real cross-functional collaboration, not just meetings."
Engineering,Under 1 year,4,3,4,4,4,4,4,4,Less paperwork and faster approvals.
Sales,Under 1 year,3,5,5,2,3,4,3,4,Less paperwork and faster approvals.
Sales,8+ years,5,5,4,5,4,3,4,4,More transparency on company direction.
HR,8+ years,4,4,5,5,3,4,4,4,
Engineering,1-3 years,5,3,5,4,4,3,4,5,More opportunities to learn new things.
HR,4-7 years,3,3,5,4,3,4,4,5,Pair programming sessions and code review time.
Marketing,1-3 years,4,5,4,5,4,3,4,3,
Sales,Under 1 year,4,4,5,4,4,3,4,3,
Sales,1-3 years,3,3,5,5,3,5,4,5,Career path conversations more than once a year.
Sales,8+ years,4,2,5,4,3,5,4,2,Less paperwork and faster approvals.
Marketing,1-3 years,4,3,3,4,5,3,3,3,More resources for our team.
Engineering,1-3 years,4,4,3,4,5,5,2,4,Clearer communication from leadership.
Sales,4-7 years,4,3,5,4,3,5,4,2,Pair programming sessions and code review time.
Marketing,8+ years,4,4,4,3,5,3,4,4,More resources for our team.
Marketing,1-3 years,4,4,4,4,3,4,4,4,
Marketing,Under 1 year,4,4,3,5,3,3,4,4,Better onboarding for new hires.
Marketing,1-3 years,3,4,5,4,3,4,4,4,Better tools for cross-team collaboration.
Engineering,4-7 years,5,2,2,3,3,5,4,3,Pair programming sessions and code review time.
Sales,4-7 years,5,4,4,3,3,3,5,5,Less paperwork and faster approvals.
Sales,Under 1 year,3,4,5,4,4,4,5,4,More resources for our team.
Engineering,Under 1 year,4,3,2,4,4,4,2,4,Clearer communication from leadership.
Marketing,1-3 years,3,4,3,4,5,3,5,5,"Real cross-functional collaboration, not just meetings."
Sales,1-3 years,4,4,5,2,3,4,5,5,Quieter workspace and fewer interruptions.
HR,1-3 years,3,5,4,3,4,4,3,3,Less paperwork and faster approvals.
Sales,4-7 years,4,4,3,4,3,3,3,4,
HR,Under 1 year,4,4,5,5,5,3,5,4,"Real cross-functional collaboration, not just meetings."
Engineering,1-3 years,5,3,5,4,5,3,5,3,Quieter workspace and fewer interruptions.
HR,1-3 years,3,4,3,4,4,3,5,5,Less paperwork and faster approvals.
Engineering,1-3 years,5,3,2,3,4,5,5,4,
HR,4-7 years,3,4,3,3,3,4,4,4,Better tools for cross-team collaboration.
Sales,4-7 years,3,4,5,5,5,3,5,3,Less paperwork and faster approvals.
Engineering,Under 1 year,5,4,2,3,4,4,3,4,More flexibility in my schedule.
Marketing,4-7 years,4,4,3,3,4,4,4,3,Better tools for cross-team collaboration.
Marketing,Under 1 year,5,2,4,4,3,4,3,3,
Engineering,1-3 years,4,4,4,4,5,5,4,5,More transparency on company direction.
Sales,1-3 years,4,3,5,3,4,5,3,4,Less paperwork and faster approvals.
Marketing,Under 1 year,4,3,4,3,4,3,4,4,Less paperwork and faster approvals.
Marketing,4-7 years,4,4,2,3,3,3,3,5,More resources for our team.
Engineering,Under 1 year,4,4,4,4,5,4,3,4,Mental health days that do not need explanation.
Engineering,4-7 years,5,3,4,5,3,3,4,4,More flexibility in my schedule.
Sales,1-3 years,5,4,4,4,5,3,4,4,Mental health days that do not need explanation.
Engineering,1-3 years,4,2,4,4,4,3,3,5,"Real cross-functional collaboration, not just meetings."
Engineering,1-3 years,3,3,4,3,5,4,5,3,Better onboarding for new hires.
Engineering,4-7 years,5,3,4,4,4,4,3,4,More resources for our team.
HR,8+ years,4,5,3,5,3,4,4,4,Mental health days that do not need explanation.
Sales,1-3 years,4,4,5,3,5,4,3,4,More resources for our team.
Marketing,1-3 years,4,4,3,3,4,4,4,4,More resources for our team.
Marketing,1-3 years,3,4,5,3,4,4,4,5,Better onboarding for new hires.
Sales,1-3 years,5,4,3,4,4,4,5,3,
HR,8+ years,4,5,3,4,4,4,4,3,More flexibility in my schedule.
HR,1-3 years,5,4,3,3,5,3,3,4,Recognition for the work we do quietly.
Engineering,Under 1 year,5,3,4,3,5,5,4,4,
Sales,1-3 years,5,4,4,5,4,4,3,3,More transparency on company direction.
Marketing,1-3 years,3,4,3,4,3,4,3,3,More transparency on company direction.
Engineering,1-3 years,4,4,3,5,5,4,4,5,
HR,1-3 years,3,5,4,4,4,5,4,4,
Sales,4-7 years,4,4,5,4,3,4,5,4,More resources for our team.
Engineering,1-3 years,5,3,3,3,5,3,4,4,More transparency on company direction.
Engineering,4-7 years,5,4,3,4,4,4,3,4,Pair programming sessions and code review time.
HR,4-7 years,3,5,3,4,4,4,4,3,Less paperwork and faster approvals.
Engineering,1-3 years,4,3,3,3,5,4,3,4,Better onboarding for new hires.
Marketing,4-7 years,3,4,4,4,4,3,3,4,Faster decision-making on roadmap items.
Engineering,8+ years,4,2,3,3,4,4,4,3,Less paperwork and faster approvals.
Engineering,4-7 years,4,3,5,5,4,5,3,3,
HR,4-7 years,4,4,5,5,4,4,3,4,Pair programming sessions and code review time.
Sales,1-3 years,3,5,4,4,4,3,5,2,
Engineering,1-3 years,5,4,2,3,4,5,5,3,Recognition for the work we do quietly.
Sales,4-7 years,5,3,3,3,3,4,2,3,
HR,4-7 years,3,4,4,3,4,3,3,5,
HR,Under 1 year,3,4,3,3,4,4,4,4,Career path conversations more than once a year.
HR,1-3 years,4,4,3,4,4,3,3,3,Pair programming sessions and code review time.
Sales,1-3 years,4,2,4,5,3,4,3,4,Less paperwork and faster approvals.
Sales,1-3 years,5,5,5,4,4,3,5,5,Recognition for the work we do quietly.
HR,1-3 years,4,4,5,4,5,3,3,3,"Real cross-functional collaboration, not just meetings."
Marketing,Under 1 year,4,3,5,5,5,3,5,5,Better tools for cross-team collaboration.
Engineering,1-3 years,5,4,3,3,5,4,5,4,Better onboarding for new hires.
Sales,1-3 years,3,5,5,4,4,3,5,4,
Engineering,4-7 years,4,3,4,4,5,4,4,4,Pair programming sessions and code review time.
Sales,1-3 years,3,3,4,4,4,3,3,4,
Marketing,1-3 years,3,5,3,5,3,4,3,4,Better tools for cross-team collaboration.
HR,8+ years,4,4,3,3,4,3,5,4,Less paperwork and faster approvals.
Marketing,1-3 years,4,5,3,4,3,5,3,4,"Real cross-functional collaboration, not just meetings."
Engineering,8+ years,4,3,3,4,5,4,5,3,
HR,8+ years,3,5,2,4,3,5,4,3,Recognition for the work we do quietly.
